parent_taxon_id,taxon_id,rank_level,leaf_class_id,iconic_class_id,spatial_class_id,spatial_threshold,name
1067048,52524,20,,,1733,,Carcinus
52524,52523,10,372,1,372,0.03635799,Carcinus maenas
706185,706188,33,,,987,,Thoracotremata
706188,47191,33,,,1659,,Grapsoidea
47191,47190,30,,,649,,Grapsidae
47190,47189,20,,,570,,Pachygrapsus
47189,47188,10,450,1,450,0.024339495,Pachygrapsus crassipes
706188,51931,33,,,1400,,Ocypodoidea
51931,51932,30,,,1150,,Ocypodidae
51932,447039,27,,,1118,,Ocypodinae
447039,53738,20,,,818,,Ocypode
53738,53875,10,1,1,1,0.030757904,Ocypode quadrata
118451,311310,35,,,1141,,Astacidea
311310,47783,33,,,952,,Astacoidea
47783,47782,30,,,1532,,Cambaridae
47782,51222,20,,,1933,,Procambarus
51222,51221,10,430,1,430,0.0032281748,Procambarus clarkii
774775,144114,43,,,973,,Peracarida
144114,48147,40,,,1308,,Isopoda
48147,84718,37,,,1346,,Oniscidea
84718,343783,35,,,733,,Holoverticata
343783,343798,34,,,1558,,Crinocheta
343798,48291,30,,,1775,,Oniscidae
48291,48290,20,,,1077,,Oniscus
48290,48284,10,359,1,359,0.0093094185,Oniscus asellus
343798,48294,30,,,1503,,Philosciidae
48294,48293,20,,,1502,,Philoscia
48293,48292,10,77,1,77,0.008848434,Philoscia muscorum
343798,48296,30,,,1361,,Armadillidiidae
48296,48295,20,,,1583,,Armadillidium
48295,56083,10,465,1,465,0.005772688,Armadillidium vulgare
343798,122239,30,,,1882,,Porcellionidae
122239,122240,20,,,1509,,Porcellio
122240,122238,10,335,1,335,0.000016539529,Porcellio scaber
47120,144128,57,,,1676,,Myriapoda
144128,47735,50,,,1022,,Diplopoda
47735,551278,47,,,1377,,Chilognatha
551278,372763,45,,,1652,,Helminthomorpha
372763,997267,44,,,1039,,Eugnatha
997267,372784,43,,,982,,Merocheta
372784,47734,40,,,1835,,Polydesmida
47734,841312,37,,,765,,Strongylosomatidea
841312,132949,30,,,1893,,Paradoxosomatidae
132949,840566,27,,,1660,,Paradoxosomatinae
840566,843658,25,,,1683,,Sulciferini
843658,143392,20,,,753,,Oxidus
143392,143390,10,84,1,84,0.0014148038,Oxidus gracilis
144128,49556,50,,,1413,,Chilopoda
49556,49553,40,,,1268,,Scutigeromorpha
49553,49554,30,,,1460,,Scutigeridae
49554,49555,20,,,1739,,Scutigera
49555,49552,10,341,1,341,0.0014928174,Scutigera coleoptrata
47120,245097,57,,,555,,Chelicerata
245097,47119,50,,,1168,,Arachnida
47119,47118,40,,,1930,,Araneae
47118,120474,37,,,1647,,Araneomorphae
120474,342614,35,,,975,,Entelegynae
342614,319384,33,,,1853,,Araneoidea
319384,47535,30,,,1198,,Araneidae
47535,417879,27,,,663,,Araneinae
417879,52629,20,,,793,,Araneus
52629,52628,10,371,2,371,0.022296473,Araneus diadematus
417879,85035,20,,,1216,,Neoscona
85035,85034,10,102,2,102,0.004822162,Neoscona crucifera
47535,1004909,27,,,797,,Gasteracanthinae
1004909,49541,20,,,1635,,Gasteracantha
49541,49540,10,305,2,305,0.04680505,Gasteracantha cancriformis
47535,1004912,27,,,1307,,Argiopinae
1004912,47552,20,,,615,,Argiope
47552,50867,10,35,2,35,0.021995477,Argiope bruennichi
47552,67706,10,390,2,390,0.069464654,Argiope argentata
47552,67707,10,462,2,462,0.01722519,Argiope aurantia
319384,1492653,30,,,1156,,Nephilidae
1492653,904332,20,,,1754,,Trichonephila
904332,904336,10,173,2,173,0.06779391,Trichonephila clavipes
342614,367176,33,,,1822,,Thomisoidea
367176,47866,30,,,693,,Thomisidae
47866,1472437,27,,,1164,,Thomisinae
1472437,1472438,25,,,1226,,Misumenini
1472438,55747,20,,,1756,,Misumena
55747,55746,10,342,2,342,0.014222747,Misumena vatia
342614,367200,33,,,901,,Salticoidea
367200,48139,30,,,1690,,Salticidae
48139,606933,27,,,1449,,Salticinae
606933,712034,25,,,1484,,Dendryphantini
712034,1109042,24,,,1383,,Marpissina
1109042,81840,20,,,1910,,Platycryptus
81840,81839,10,57,2,57,0.025664061,Platycryptus undatus
712034,1109044,24,,,1283,,Dendryphantina
1109044,53810,20,,,836,,Phidippus
53810,1362557,11,,,586,,Phidippus audax
1362557,53809,10,452,2,452,0.0027150216,Phidippus audax
606933,712082,25,,,819,,Salticini
712082,68910,20,,,1167,,Salticus
68910,68901,10,229,2,229,0.0032372908,Salticus scenicus
342614,1529315,34,,,1622,,Rta clade
1529315,1529320,33,,,1919,,Oval calamistrum clade
1529320,367161,33,,,1731,,Lycosoidea
367161,55788,30,,,1758,,Pisauridae
55788,55789,20,,,647,,Pisaura
55789,55787,10,344,2,344,0.0120469,Pisaura mirabilis
120474,367158,35,,,544,,Haplogynae
367158,1528408,34,,,723,,Synspermiata
1528408,367163,33,,,1009,,Pholcoidea
367163,47823,30,,,1511,,Pholcidae
47823,1471930,27,,,626,,Pholcinae
1471930,67329,20,,,598,,Pholcus
67329,67328,10,3,2,3,0.000067056295,Pholcus phalangioides
47119,47367,40,,,1217,,Opiliones
47367,372840,37,,,1019,,Eupnoi
372840,61350,33,,,1471,,Phalangioidea
61350,57409,30,,,1841,,Phalangiidae
57409,429497,27,,,1900,,Phalangiinae
429497,61487,20,,,1341,,Phalangium
61487,84644,10,426,2,426,0.0066143116,Phalangium opilio
245097,48309,50,,,1496,,Merostomata
48309,246165,40,,,962,,Xiphosurida
246165,326110,30,,,1610,,Limulidae
326110,472330,27,,,919,,Limulinae
472330,326113,20,,,1561,,Limulus
326113,48302,10,125,1,125,0.018068628,Limulus polyphemus
47120,372739,57,,,558,,Hexapoda
372739,47158,50,,,1287,,Insecta
47158,184884,47,,,514,,Pterygota
184884,47157,40,,,676,,Lepidoptera
47157,47214,33,,,1811,,Bombycoidea
47214,47213,30,,,687,,Sphingidae
47213,124071,27,,,1366,,Macroglossinae
124071,124065,25,,,949,,Macroglossini
124065,124050,24,,,1566,,Macroglossina
124050,56294,20,,,1513,,Macroglossum
56294,56293,10,297,0,297,0.01372536,Macroglossum stellatarum
124065,124055,24,,,1447,,Choerocampina
124055,49349,20,,,1525,,Hyles
49349,49348,10,107,0,107,0.0046119117,Hyles lineata
47214,47918,30,,,1967,,Saturniidae
47918,124126,27,,,1898,,Saturniinae
124126,125080,25,,,1871,,Saturniini
125080,47917,20,,,644,,Actias
47917,47916,10,258,0,258,0.027027968,Actias luna
125080,47920,20,,,829,,Antheraea
47920,47919,10,4,0,4,0.015431085,Antheraea polyphemus
47157,47224,33,,,823,,Papilionoidea
47224,47223,30,,,1922,,Papilionidae
47223,49973,27,,,1491,,Papilioninae
49973,49974,25,,,581,,Troidini
49974,522893,24,,,1626,,Battina
522893,49975,20,,,898,,Battus
49975,49972,10,249,0,249,0.017562086,Battus philenor
49973,207785,25,,,1464,,Papilionini
207785,47225,20,,,1008,,Papilio
47225,545183,15,,,1869,,Papilio
545183,56529,10,412,0,412,0.023428218,Papilio machaon
545183,58523,10,374,0,374,0.02247975,Papilio polyxenes
47225,545186,15,,,1415,,Pterourus
545186,58525,10,303,0,303,0.043922715,Papilio troilus
545186,60551,10,12,0,12,0.039433073,Papilio glaucus
207785,883401,20,,,1412,,Heraclides
883401,85024,10,49,0,49,0.009454747,Heraclides cresphontes
47224,47653,30,,,1688,,Hesperiidae
47653,122493,27,,,1344,,Hesperiinae
122493,320552,25,,,1258,,Hesperiini
320552,1363159,24,,,1969,,Hesperiina
1363159,50341,20,,,1907,,Hylephila
50341,50340,10,339,0,339,0.013257242,Hylephila phyleus
1363159,52077,20,,,1628,,Atalopedes
52077,1455248,10,350,0,350,0.010435918,Atalopedes huron
1363159,55786,20,,,1422,,Ochlodes
55786,61781,10,79,0,79,0.012124361,Ochlodes sylvanus
1363159,58504,20,,,1172,,Polites
58504,1363170,15,,,1753,,Polites
1363170,133631,10,30,0,30,0.020651495,Polites peckius
1363159,1081313,20,,,531,,Lon
1081313,1081329,10,284,0,284,0.023312375,Lon zabulon
320552,1363197,24,,,1389,,Thymelicina
1363197,58493,20,,,1300,,Thymelicus
58493,58484,10,18,0,18,0.011644979,Thymelicus lineola
47653,320509,27,,,610,,Eudaminae
